"","Country name","Regional indicator","Ladder score","Standard error of ladder score","upperwhisker","lowerwhisker","Logged GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Perceptions of corruption","Ladder score in Dystopia","Explained by: Log GDP per capita","Explained by: Social support","Explained by: Healthy life expectancy","Explained by: Freedom to make life choices","Explained by: Generosity","Explained by: Perceptions of corruption","Dystopia + residual","region","country","total_cases","total_deaths","total_cases_per_100k","total_deaths_per_100k","death_case_ratio","location","people_vaccinated","people_fully_vaccinated","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred"
"20","Belgium","Western Europe",6.834,0.034,6.901,6.767,10.823,0.906,72.199,0.783,-0.153,0.646,2.43,1.463,0.998,0.747,0.489,0.088,0.187,2.862,"Belgium","Belgium",640861.285999999,19287.281,5529.61621851837,166.418637166236,0.0300958747568971,"Belgium",929,21,0.01,0
"21","France","Western Europe",6.69,0.037,6.762,6.618,10.704,0.942,74,0.822,-0.147,0.571,2.43,1.421,1.081,0.804,0.536,0.092,0.235,2.521,"France","France",2630651.138,63543.424,3860.22072620014,93.2436987920074,0.0241550173955449,"France",1972,NA,0,NA
"22","Bahrain","Middle East and North Africa",6.647,0.068,6.779,6.514,10.669,0.862,69.495,0.925,0.089,0.722,2.43,1.409,0.899,0.662,0.661,0.246,0.139,2.631,"Bahrain","Bahrain",91941.7099999999,351.29,5403.30445238347,20.6448936078934,0.00382079036815826,"Bahrain",58643,NA,3.35,NA
"23","Malta","Western Europe",6.602,0.044,6.688,6.516,10.674,0.931,72.2,0.927,0.133,0.653,2.43,1.411,1.055,0.747,0.664,0.275,0.183,2.268,"Malta","Malta",12437.72,212.012,2816.90179123475,48.0165964954398,0.0170458894395436,"Malta",0,0,0,0
"24","Taiwan Province of China","East Asia",6.584,0.038,6.659,6.51,10.871,0.898,69.6,0.784,-0.07,0.721,2.43,1.48,0.982,0.665,0.49,0.142,0.139,2.687,"Taiwan Province of China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","United Arab Emirates","Middle East and North Africa",6.561,0.039,6.637,6.484,11.085,0.844,67.333,0.932,0.074,0.589,2.43,1.555,0.86,0.594,0.67,0.236,0.223,2.422,"United Arab Emirates","United Arab Emirates",203347.717,660.133,2056.01105112028,6.67448232629621,0.00324632609472572,"United Arab Emirates",0,0,0,0
"26","Saudi Arabia","Middle East and North Africa",6.494,0.056,6.604,6.384,10.743,0.891,66.603,0.877,-0.149,0.684,2.43,1.435,0.964,0.571,0.603,0.09,0.163,2.668,"Saudi Arabia","Saudi Arabia",362335.008,6195.139,1040.77782568653,17.7950326517878,0.0170978206996769,"Saudi Arabia",0,0,0,0
"27","Spain","Western Europe",6.491,0.042,6.574,6.408,10.571,0.932,74.7,0.761,-0.081,0.745,2.43,1.375,1.057,0.826,0.462,0.135,0.124,2.513,"Spain","Spain",1882305.136,50223.146,4025.90925510231,107.418199331606,0.0266817239349019,"Spain",0,0,0,0
"28","Italy","Western Europe",6.483,0.045,6.572,6.395,10.623,0.88,73.8,0.693,-0.084,0.866,2.43,1.393,0.94,0.798,0.379,0.133,0.047,2.794,"Italy","Italy",2060799.725,72566.714,3408.43106000698,120.020707941546,0.0352128899861921,"Italy",40690,NA,0.07,NA
"29","Slovenia","Central and Eastern Europe",6.461,0.043,6.546,6.376,10.529,0.948,71.4,0.949,-0.101,0.806,2.43,1.36,1.093,0.722,0.69,0.122,0.085,2.388,"Slovenia","Slovenia",116754.422,2598.865,5616.07700492368,125.009620324282,0.0222592425664186,"Slovenia",11489,NA,0.55,NA
