"location","people_vaccinated","people_fully_vaccinated","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred"
"Nepal",9879648,8437860,33.29,28.43
"Netherlands",NA,NA,NA,NA
"New Caledonia",181108,170833,62.84,59.27
"New Zealand",3935885,3710234,76.83,72.43
"Nicaragua",4053890,2322298,60.48,34.65
"Niger",507223,464413,2.02,1.85
"Nigeria",7131832,3785359,3.37,1.79
"Niue",1202,1150,74.47,71.25
"North America",391839877,330210128,65.68,55.35
"North Macedonia",885888,789905,42.54,37.93
"Northern Cyprus",284357,275988,74.39,72.2
"Northern Ireland",1379165,1279456,72.74,67.48
"Norway",4248661,3858161,77.73,70.59
"Oceania",25914958,24228165,59.96,56.06
"Oman",3310409,2828176,63.38,54.14
"Pakistan",82224088,53031529,36.51,23.55
"Palestine",1986530,1386990,38.04,26.56
"Panama",3012554,2439271,68.75,55.67
"Papua New Guinea",269366,197800,2.95,2.17
"Paraguay",3395632,2703605,47.03,37.45
"Peru",22749614,18906381,68.2,56.67
"Philippines",NA,38699023,NA,34.85
"Pitcairn",47,47,100,100
"Poland",21022140,20562999,55.62,54.4
"Portugal",9064280,9007300,89.15,88.59
"Qatar",NA,NA,NA,NA
"Romania",NA,7541662,NA,39.43
"Russia",68551654,59156207,46.98,40.54
"Rwanda",5987745,3452598,45.1,26.01
"Saint Helena",4361,3531,71.55,57.93
"Saint Kitts and Nevis",27927,24997,52.16,46.68
"Saint Lucia",54833,47342,29.74,25.67
"Saint Vincent and the Grenadines",31993,23908,28.75,21.49
"Samoa",139865,108864,69.88,54.39
"San Marino",25455,22379,74.85,65.8
"Sao Tome and Principe",83283,38074,37.29,17.05
"Saudi Arabia",24718878,22684981,69.94,64.19
"Scotland",4355063,3962203,79.68,72.49
"Senegal",1328153,930046,7.72,5.41
"Serbia",3278080,3146226,47.71,45.79
"Seychelles",81937,77951,82.84,78.81
"Sierra Leone",703231,361089,8.64,4.44
"Singapore",5071148,5012181,92.99,91.91
"Sint Maarten (Dutch part)",26935,24921,62.03,57.39
"Slovakia",2668040,2358356,48.86,43.19
"Slovenia",1235290,1159685,59.43,55.79
"Solomon Islands",161521,46525,22.94,6.61
"Somalia",589128,564612,3.6,3.45
"South Africa",18053081,15104933,30.07,25.16
"South America",322253757,260295172,74.21,59.94
"South Korea",42774131,41455846,83.37,80.8
"South Sudan",185148,133315,1.63,1.17
"Spain",38447301,37677168,82.25,80.6
"Sri Lanka",15947255,13770028,74.18,64.05
"Sudan",1154253,NA,2.57,NA
"Suriname",258856,222122,43.74,37.53
"Sweden",7632138,7212687,75.12,70.99
"Switzerland",5870406,5732109,67.36,65.77
"Syria",890837,739210,4.87,4.04
"Taiwan",18338424,14546859,76.87,60.98
"Tajikistan",3024020,2555173,31.02,26.21
"Tanzania",1592897,1078102,2.59,1.75
"Thailand",49223323,42473758,70.37,60.72
"Timor",646851,465372,48.13,34.63
"Togo",1281856,649079,15.12,7.66
"Tokelau",968,968,70.76,70.76
"Tonga",73296,46239,68.66,43.31
"Trinidad and Tobago",650160,650050,46.33,46.32
"Tunisia",6213822,5275808,52.06,44.2
"Turkey",56422378,50740424,66.35,59.66
"Turkmenistan",4374694,3206282,71.51,52.41
"Turks and Caicos Islands",29210,27133,74.47,69.17
"Tuvalu",6230,5884,52.24,49.34
"Uganda",3838439,912983,8.15,1.94
"Ukraine",13905431,12062913,31.99,27.75
"United Arab Emirates",9801529,8832256,98.1,88.4
"United Kingdom",51138245,46582425,74.97,68.3
"United States",236363835,198156371,71.19,59.68
"Upper middle income",1910850773,1697392452,76.02,67.53
"Uruguay",2754571,2661539,79.04,76.37
"Uzbekistan",17987159,NA,53,NA
"Vanuatu",96141,45349,30.57,14.42
"Venezuela",16415684,9858581,57.19,34.34
"Vietnam",73663229,55012304,75.04,56.04
"Wales",2473150,2273156,78.02,71.71
"Wallis and Futuna",6016,5923,54.23,53.39
"World",4351585090,3533456929,55.26,44.87
"Yemen",556652,366587,1.83,1.2
"Zambia",NA,747604,NA,3.95
"Zimbabwe",3897441,2910951,25.82,19.29
